id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
10,"Salt Marsh Nature Center, Marine Park, 3301 Avenue U, Brooklyn, NY",40.605332,-73.929764,1,rooftop,"3301 Ave U",,"Brooklyn, NY 11234",3301,"Ave U",,,Brooklyn,NY,"Kings County",11234,US,"City of New York"
11,"Van Cortlandt Nature Center, Van Cortlandt Park, Broadway, Jerome Ave,City Line,Van Cortlandt Pk S, Bronx, NY",40.899697,-73.872191,1,street_center,"Van Cortlandt Park E",,"Bronx, NY 10470",,"Van Cortlandt Park E",,,Bronx,NY,"Bronx County",10470,US,"TIGER/Line® dataset from the US Census Bureau"
12,"Multi-Use Room A, Pelham Fritz Recreation Center, 18 Mount Morris Park West, Manhattan, NY",40.80491,-73.945021,1,rooftop,"18 Mt Morris Park W",,"New York, NY 10027",18,"Mt Morris Park W",,,"New York",NY,"New York County",10027,US,"City of New York"
13,"Ryan Health- Chelsea Clinton Community Health Center, 645 10th Ave, New York, NY 10036, Manhattan",40.762072,-73.993927,1,rooftop,"645 10th Ave",,"New York, NY 10036",645,"10th Ave",,,"New York",NY,"New York County",10036,US,"City of New York"
14,"NYC Department of Health and Mental Hygiene- East Harlem Neighborhood Health Action Center, 158 E 115th st New York, New York United States, 10029, Manhattan",40.797622,-73.941607,1,rooftop,"158 E 115th St",,"New York, NY 10029",158,"E 115th St",,,"New York",NY,"New York County",10029,US,"City of New York"
15,"Gymnasium (Full), Kwame Ture Recreation Center, 1527 Jesup Avenue, Bronx, NY",40.845774,-73.918302,1,street_center,"Jesup Ave",,"Bronx, NY 10452",,"Jesup Ave",,,Bronx,NY,"Bronx County",10452,US,"TIGER/Line® dataset from the US Census Bureau"
16,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY",40.727614,-73.992389,1,rooftop,"29 E 4th St",,"New York, NY 10003",29,"E 4th St",,,"New York",NY,"New York County",10003,US,"City of New York"
18,"Gymnasium, Rev. T. Wendell Foster Park and Recreation Center, Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave , Bronx, NY",40.839516,-73.920488,1,street_center,"Cromwell Ave",,"Bronx, NY 10452",,"Cromwell Ave",,,Bronx,NY,"Bronx County",10452,US,"TIGER/Line® dataset from the US Census Bureau"
19,"Seaman Avenue and Isham Street Entrance, Inwood Hill Park, Dyckman St, Hudson River, Harlem River S, Manhattan, NY",40.869877,-73.920897,1,intersection,"Isham St and Seaman Ave",,"New York, NY 10034",,"Isham St",,,"New York",NY,"New York County",10034,US,"© OpenStreetMap contributors"
20,"Entrance to John Golden Park, 215th Place and 33rd Ave, Queens, NY",40.768106,-73.825086,1,street_center,"33rd Ave",,"Flushing, NY 11354",,"33rd Ave",,,Flushing,NY,"Queens County",11354,US,"TIGER/Line® dataset from the US Census Bureau"
