id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
80,"Forest Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
81,"Inwood Hill Park, New York, NY",40.772103,-73.963096,0.83,street_center,"Park Ave",,"New York, NY 10021",,"Park Ave",,,"New York",NY,"New York County",10021,US,"TIGER/Line® dataset from the US Census Bureau"
82,"Sara D. Roosevelt Park, New York, NY",40.878163,-73.900021,0.85,street_center,"Shrady Pl",,"Bronx, NY 10463",,"Shrady Pl",,,Bronx,NY,"Bronx County",10463,US,"TIGER/Line® dataset from the US Census Bureau"
83,"Bushwick Playground, New York, NY",40.704311,-73.938569,0.86,street_center,"Bushwick Ct",,"Brooklyn, NY 11206",,"Bushwick Ct",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
85,"EAST   82 STREET between 1 AVENUE and YORK AVENUE, New York, NY",40.773344,-73.94901,1,intersection,"E 82nd St and York Ave",,"New York, NY 10028",,"E 82nd St",,,"New York",NY,"New York County",10028,US,"© OpenStreetMap contributors"
86,"Parade Ground, New York, NY",40.651315,-73.964948,0.81,street_center,"Parade Pl",,"Brooklyn, NY 11226",,"Parade Pl",,,Brooklyn,NY,"Kings County",11226,US,"TIGER/Line® dataset from the US Census Bureau"
87,"Helen Marshall Playground, New York, NY",40.723006,-73.688909,0.54,street_center,"Helen Ct",,"Floral Park, NY 11001",,"Helen Ct",,,"Floral Park",NY,"Nassau County",11001,US,"TIGER/Line® dataset from the US Census Bureau"
89,"Bushwick Inlet Park, New York, NY",40.704311,-73.938569,0.86,street_center,"Bushwick Ct",,"Brooklyn, NY 11206",,"Bushwick Ct",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
90,"Madison Square Park, New York, NY",40.711839,-73.999096,1,street_center,"Madison St",,"New York, NY 10038",,"Madison St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
92,"Flushing Meadows Corona Park, New York, NY",40.712749,-73.917992,0.79,street_center,"Flushing Ave",,"Ridgewood, NY 11385",,"Flushing Ave",,,Ridgewood,NY,"Queens County",11385,US,"TIGER/Line® dataset from the US Census Bureau"
93,"Randall's Island Park, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
94,"Jackie Robinson Park, New York, NY",40.690629,-73.889069,0.89,street_center,"Jackie Robinson Pkwy",,"Ridgewood, NY 11385",,"Jackie Robinson Pkwy",,,Ridgewood,NY,"Queens County",11385,US,"OpenStreetMap Contributors"
95,"Lou Gehrig Plaza, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
96,"Coffey Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
97,"BLEEKER STREET between CARMINE STREET and LEROY STREET, New York, NY",40.730922,-74.002818,1,intersection,"Bleecker St and Leroy St",,"New York, NY 10014",,"Bleecker St",,,"New York",NY,"New York County",10014,US,"© OpenStreetMap contributors"
99,"Leif Ericson Park, New York, NY",40.720543,-74.007737,0.9,street_center,"Ericsson Pl",,"New York, NY 10013",,"Ericsson Pl",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
100,"Calvert Vaux Park, New York, NY",40.712895,-74.00846,0.85,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
101,"Central Park, New York, NY",40.797925,-73.951698,1,street_center,"Central Park N",,"New York, NY 10026",,"Central Park N",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
